model,sigma,acc
Qwen--Qwen3.5-397B-A17B,0,50.33
Qwen--Qwen3.5-397B-A17B,2,49.67
Qwen--Qwen3.5-397B-A17B,4,48.00
Qwen--Qwen3.5-397B-A17B,8,36.00
Qwen--Qwen3.5-397B-A17B,16,17.67
Qwen--Qwen3.5-397B-A17B,32,8.33
Qwen--Qwen3.5-397B-A17B,64,7.67
Qwen--Qwen3.5-397B-A17B,inf,10.00
claude-sonnet-4-6,0,65.67
claude-sonnet-4-6,2,65.00
claude-sonnet-4-6,4,56.33
claude-sonnet-4-6,8,47.67
claude-sonnet-4-6,16,31.00
claude-sonnet-4-6,32,14.67
claude-sonnet-4-6,64,4.67
claude-sonnet-4-6,inf,9.33
gpt-4o,0,59.00
gpt-4o,2,58.67
gpt-4o,4,50.33
gpt-4o,8,46.33
gpt-4o,16,34.67
gpt-4o,32,19.00
gpt-4o,64,15.33
gpt-4o,inf,5.33
huatuogpt-vision-7b,0,55.33
huatuogpt-vision-7b,2,56.00
huatuogpt-vision-7b,4,52.67
huatuogpt-vision-7b,8,43.00
huatuogpt-vision-7b,16,28.33
huatuogpt-vision-7b,32,17.67
huatuogpt-vision-7b,64,13.33
huatuogpt-vision-7b,inf,20.67
