model,condition,scopes,n_probes,n_volumes,accuracy,ci_lo,ci_hi,chance,excludes_chance,n_complete_pairs,accuracy_pairs_only,pairs_ci_lo,pairs_ci_hi,pairs_excludes_chance,pair_identical_pct,delta_vs_plain,delta_ci_lo,delta_ci_hi,delta_excludes_zero
geometry,geometry-oracle,Task03_Liver+Task06_Lung+Task07_Pancreas+Task10_Colon+common,8476,572,100.0,100.0,100.0,50.0,yes,4238,100.0,100.0,100.0,yes,0.0,,,,
internvl,plain,Task03_Liver+Task06_Lung+Task07_Pancreas+Task10_Colon,1368,431,49.34,47.21,51.51,50.0,no,363,56.34,54.55,58.21,yes,85.12,,,,
internvl,bestslice,Task03_Liver+Task06_Lung+Task07_Pancreas+Task10_Colon,1368,431,50.44,48.31,52.59,50.0,no,363,56.89,55.1,58.82,yes,83.47,1.1,-0.53,2.73,no
internvl,overlay,Task03_Liver+Task06_Lung+Task07_Pancreas+Task10_Colon,1368,431,49.27,47.21,51.33,50.0,no,363,54.41,52.56,56.3,yes,85.67,-0.07,-2.85,2.75,no
internvl,identified,Task03_Liver+Task06_Lung+Task07_Pancreas+Task10_Colon,1368,431,51.24,49.36,53.22,50.0,no,363,53.86,52.44,55.34,yes,90.63,1.9,-0.95,4.85,no
internvl,text-oracle-blind,common,1368,431,50.0,48.26,51.79,50.0,no,363,50.0,50.0,50.0,no,100.0,0.66,-2.34,3.69,no
internvl,text-oracle,common,1368,431,50.0,48.26,51.79,50.0,no,363,50.0,50.0,50.0,no,100.0,0.66,-2.34,3.69,no
internvl,numeric-oracle,common,1368,431,100.0,100.0,100.0,50.0,yes,363,100.0,100.0,100.0,yes,0.0,50.66,48.49,52.79,yes
internvl,numeric-oracle-gen,common,1368,431,100.0,100.0,100.0,50.0,yes,363,100.0,100.0,100.0,yes,0.0,50.66,48.49,52.79,yes
internvl,text-oracle-gen,common,1368,431,50.0,48.26,51.79,50.0,no,363,50.0,50.0,50.0,no,100.0,0.66,-2.34,3.69,no
qwen32b,plain,Task03_Liver+Task06_Lung+Task07_Pancreas+Task10_Colon,1368,431,49.49,47.41,51.59,50.0,no,363,52.2,50.67,53.83,yes,91.18,,,,
qwen32b,bestslice,Task03_Liver+Task06_Lung+Task07_Pancreas+Task10_Colon,1368,431,51.46,49.38,53.52,50.0,no,363,54.96,53.28,56.71,yes,86.78,1.97,0.15,3.73,yes
qwen32b,overlay,Task03_Liver+Task06_Lung+Task07_Pancreas+Task10_Colon,1368,431,50.66,48.63,52.7,50.0,no,363,50.14,48.72,51.54,no,92.01,1.17,-0.66,3.04,no
qwen32b,identified,Task03_Liver+Task06_Lung+Task07_Pancreas+Task10_Colon,1368,431,52.63,50.71,54.63,50.0,yes,363,50.0,48.88,51.18,no,94.49,3.14,1.18,5.16,yes
qwen32b,text-oracle-blind,common,1368,431,61.7,59.99,63.42,50.0,yes,363,51.1,50.41,51.91,yes,97.8,12.21,9.53,14.86,yes
qwen32b,text-oracle,common,1368,431,51.1,49.29,52.86,50.0,no,363,50.0,50.0,50.0,no,100.0,1.61,-1.09,4.25,no
qwen32b,numeric-oracle,common,1368,431,100.0,100.0,100.0,50.0,yes,363,100.0,100.0,100.0,yes,0.0,50.51,48.41,52.59,yes
qwen32b,numeric-oracle-gen,common,1368,431,100.0,100.0,100.0,50.0,yes,363,100.0,100.0,100.0,yes,0.0,50.51,48.41,52.59,yes
